,party,result,council,region
248,"Політична партія ""Об’єднання ""САМОПОМІЧ""",7.81,Одеська міська рада,Одеська обл.
249,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",16.67,Конотопська міська рада,Сумська обл.
250,Народна Партія,13.89,Конотопська міська рада,Сумська обл.
251,"Політична партія ""Воля народу"" ",11.11,Конотопська міська рада,Сумська обл.
252,"Політична партія ""Рідне місто""",11.11,Конотопська міська рада,Сумська обл.
253,"Політична партія ""Об’єднання ""САМОПОМІЧ""",17.65,Глухівська міська рада,Сумська обл.
254,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",11.76,Глухівська міська рада,Сумська обл.
255,"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Глухівська міська рада,Сумська обл.
256,"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",8.82,Глухівська міська рада,Сумська обл.
257,Радикальна партія Олега Ляшка,5.88,Глухівська міська рада,Сумська обл.
258,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",21.43,Сумська міська рада,Сумська обл.
259,"Політична партія ""Об’єднання ""САМОПОМІЧ""",9.52,Сумська міська рада,Сумська обл.
260,"Політична Партія ""Опозиційний блок""",9.52,Сумська міська рада,Сумська обл.
261,"Політична партія ""За Україну!""",9.52,Сумська міська рада,Сумська обл.
262,"політична партія Всеукраїнське об’єднання ""Свобода""",7.14,Сумська міська рада,Сумська обл.
263,"Політична партія ""Рідне місто""",19.23,Гадяцька міська рада,Полтавська обл.
264,"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",15.38,Гадяцька міська рада,Полтавська обл.
265,"Партія ""Відродження""",11.54,Гадяцька міська рада,Полтавська обл.
266,Радикальна партія Олега Ляшка,11.54,Гадяцька міська рада,Полтавська обл.
267,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",15.38,Яремчанська міська рада,Івано-Франківська обл.
268,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",15.38,Яремчанська міська рада,Івано-Франківська обл.
269,Радикальна партія Олега Ляшка,11.54,Яремчанська міська рада,Івано-Франківська обл.
270,"Політична партія ""Сила людей""",11.54,Яремчанська міська рада,Івано-Франківська обл.
271,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",14.71,Коломийська міська рада,Івано-Франківська обл.
272,"політична партія Всеукраїнське об’єднання ""Батьківщина""",14.71,Коломийська міська рада,Івано-Франківська обл.
273,політична партія Народний Рух України,8.82,Коломийська міська рада,Івано-Франківська обл.
274,Українська Народна Партія,8.82,Коломийська міська рада,Івано-Франківська обл.
275,"політична партія Всеукраїнське об’єднання ""Свобода""",8.82,Коломийська міська рада,Івано-Франківська обл.
276,"політична партія Всеукраїнське об’єднання ""Свобода""",11.76,Кузнецовська міська рада,Рівненська обл.
277,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.33,Конотопська міська рада,Сумська обл.
278,"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.33,Конотопська міська рада,Сумська обл.
279,"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.33,Конотопська міська рада,Сумська обл.
280,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",5.88,Глухівська міська рада,Сумська обл.
281,"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.54,Гадяцька міська рада,Полтавська обл.
282,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",7.69,Гадяцька міська рада,Полтавська обл.
283,"політична партія Всеукраїнське об’єднання ""Свобода""",7.69,Яремчанська міська рада,Івано-Франківська обл.
284,"політична партія Всеукраїнське об’єднання ""Батьківщина""",7.69,Яремчанська міська рада,Івано-Франківська обл.
285,політична партія Конгрес Українських Націоналістів,7.69,Яремчанська міська рада,Івано-Франківська обл.
286,"Політична партія ""Громадянська позиція""",3.85,Яремчанська міська рада,Івано-Франківська обл.
287,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",8.82,Коломийська міська рада,Івано-Франківська обл.
288,Радикальна партія Олега Ляшка,8.82,Коломийська міська рада,Івано-Франківська обл.
289,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",5.88,Коломийська міська рада,Івано-Франківська обл.
290,"політична партія Всеукраїнське об’єднання ""Свобода""",16.67,Калуська міська рада,Івано-Франківська обл.
291,"Політична партія ""Воля""",23.08,Болехівська міська рада,Івано-Франківська обл.
292,"політична партія Всеукраїнське об’єднання ""Свобода""",33.33,Івано-Франківська міська рада,Івано-Франківська обл.
293,"політична партія Всеукраїнське об’єднання ""Батьківщина""",19.23,Бурштинська міська рада,Івано-Франківська обл.
294,"політична партія Всеукраїнське об’єднання ""Батьківщина""",20.59,Дубенська міська рада,Рівненська обл.
295,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",21.43,Рівненська міська рада,Рівненська обл.
296,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",34.62,Острозька міська рада,Рівненська обл.
297,"Політична партія ""Нові обличчя""",26.47,Фастівська міська рада,Київська обл.
298,Українська партія,16.67,Калуська міська рада,Івано-Франківська обл.
299,"політична партія Всеукраїнське об’єднання ""Батьківщина""",13.89,Калуська міська рада,Івано-Франківська обл.
300,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",13.89,Калуська міська рада,Івано-Франківська обл.
301,"Політична партія ""Об’єднання ""САМОПОМІЧ""",11.11,Калуська міська рада,Івано-Франківська обл.
302,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",11.11,Калуська міська рада,Івано-Франківська обл.
303,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",19.23,Болехівська міська рада,Івано-Франківська обл.
304,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",15.38,Болехівська міська рада,Івано-Франківська обл.
305,"політична партія Всеукраїнське об’єднання ""Батьківщина""",15.38,Болехівська міська рада,Івано-Франківська обл.
306,Радикальна партія Олега Ляшка,11.54,Болехівська міська рада,Івано-Франківська обл.
307,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",21.43,Івано-Франківська міська рада,Івано-Франківська обл.
308,"Політична партія ""Об’єднання ""САМОПОМІЧ""",14.29,Івано-Франківська міська рада,Івано-Франківська обл.
309,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",14.29,Івано-Франківська міська рада,Івано-Франківська обл.
310,"політична партія Всеукраїнське об’єднання ""Батьківщина""",9.52,Івано-Франківська міська рада,Івано-Франківська обл.
311,"ПОЛІТИЧНА ПАРТІЯ ""РІДНИЙ ДІМ"" ",15.38,Бурштинська міська рада,Івано-Франківська обл.
312,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",15.38,Бурштинська міська рада,Івано-Франківська обл.
313,"політична партія Всеукраїнське об’єднання ""Свобода""",15.38,Бурштинська міська рада,Івано-Франківська обл.
314,"Політична партія ""Громадянська позиція""",11.54,Бурштинська міська рада,Івано-Франківська обл.
315,Радикальна партія Олега Ляшка,7.69,Бурштинська міська рада,Івано-Франківська обл.
316,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",14.71,Дубенська міська рада,Рівненська обл.
317,"політична партія Всеукраїнське об’єднання ""Свобода""",11.76,Дубенська міська рада,Рівненська обл.
318,"Політична партія ""Громадянська позиція""",11.76,Дубенська міська рада,Рівненська обл.
319,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",11.76,Дубенська міська рада,Рівненська обл.
320,"ПОЛІТИЧНА ПАРТІЯ ""ПРОГРЕС""",8.82,Дубенська міська рада,Рівненська обл.
321,"політична партія Всеукраїнське об’єднання ""Батьківщина""",19.05,Рівненська міська рада,Рівненська обл.
322,"політична партія Всеукраїнське об’єднання ""Свобода""",16.67,Рівненська міська рада,Рівненська обл.
323,"Політична партія ""Об’єднання ""САМОПОМІЧ""",14.29,Рівненська міська рада,Рівненська обл.
324,"ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""ГРОМАДСЬКИЙ КОНТРОЛЬ""",11.9,Рівненська міська рада,Рівненська обл.
325,"політична партія Всеукраїнське об’єднання ""Батьківщина""",26.92,Острозька міська рада,Рівненська обл.
326,"Політична партія ""КОНКРЕТНИХ СПРАВ""",11.54,Острозька міська рада,Рівненська обл.
327,"політична партія Всеукраїнське об’єднання ""Свобода""",11.54,Острозька міська рада,Рівненська обл.
328,"Політична партія ""Громадянська позиція""",7.69,Острозька міська рада,Рівненська обл.
329,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",14.71,Фастівська міська рада,Київська обл.
330,"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Фастівська міська рада,Київська обл.
331,"Політична партія ""Об’єднання ""САМОПОМІЧ""",11.76,Фастівська міська рада,Київська обл.
332,"Політична партія ""АВТО-МАЙДАН""",8.33,Калуська міська рада,Івано-Франківська обл.
333,політична партія Народний Рух України,8.33,Калуська міська рада,Івано-Франківська обл.
334,політична партія Народний Рух України,7.69,Болехівська міська рада,Івано-Франківська обл.
335,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",7.69,Болехівська міська рада,Івано-Франківська обл.
336,Українська Народна Партія,7.14,Івано-Франківська міська рада,Івано-Франківська обл.
337,"Політична партія ""Сила людей""",7.69,Бурштинська міська рада,Івано-Франківська обл.
338,"Політична партія ""Воля""",7.69,Бурштинська міська рада,Івано-Франківська обл.
339,Радикальна партія Олега Ляшка,8.82,Дубенська міська рада,Рівненська обл.
340,"Політична партія ""КОНКРЕТНИХ СПРАВ""",5.88,Дубенська міська рада,Рівненська обл.
341,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",5.88,Дубенська міська рада,Рівненська обл.
342,Радикальна партія Олега Ляшка,9.52,Рівненська міська рада,Рівненська обл.
343,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",7.14,Рівненська міська рада,Рівненська обл.
344,Радикальна партія Олега Ляшка,7.69,Острозька міська рада,Рівненська обл.
345,Радикальна партія Олега Ляшка,8.82,Фастівська міська рада,Київська обл.
346,"Політична Партія ""Третя Сила""",8.82,Фастівська міська рада,Київська обл.
347,"Політична Партія ""Опозиційний блок""",5.88,Фастівська міська рада,Київська обл.
348,"політична партія Всеукраїнське об’єднання ""Свобода""",5.88,Фастівська міська рада,Київська обл.
349,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",5.88,Фастівська міська рада,Київська обл.
350,"Політична Партія ""Опозиційний блок""",19.23,Славутицька міська рада,Київська обл.
351,"Політична Партія ""Третя Сила""",23.08,Ржищівська міська рада,Київська обл.
352,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",26.47,Переяслав-Хмельницька міська рада,Київська обл.
353,"Політична партія ""Нові обличчя""",23.53,Бучанська міська рада,Київська обл.
354,"Політична партія ""Нові обличчя""",41.67,Ірпінська міська рада,Київська обл.
355,"Політична партія ""Наш край""",15.38,Славутицька міська рада,Київська обл.
356,"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.54,Славутицька міська рада,Київська обл.
357,"Політична партія ""Совість України""",11.54,Славутицька міська рада,Київська обл.
358,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",11.54,Славутицька міська рада,Київська обл.
359,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",7.69,Славутицька міська рада,Київська обл.
360,"політична партія Всеукраїнське об’єднання ""Батьківщина""",17.65,Васильківська міська рада,Київська обл.
361,"політична партія Всеукраїнське об’єднання ""Батьківщина""",15.38,Ржищівська міська рада,Київська обл.
362,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",15.38,Ржищівська міська рада,Київська обл.
363,"Політична партія ""Нові обличчя""",11.54,Ржищівська міська рада,Київська обл.
364,"Політична партія ""Наш край""",11.54,Ржищівська міська рада,Київська обл.
365,Радикальна партія Олега Ляшка,7.69,Ржищівська міська рада,Київська обл.
366,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",22.22,Броварська міська рада,Київська обл.
367,"Політична партія ""Наш край""",20.59,Переяслав-Хмельницька міська рада,Київська обл.
368,"Політична партія ""Нові обличчя""",8.82,Переяслав-Хмельницька міська рада,Київська обл.
369,Радикальна партія Олега Ляшка,8.82,Переяслав-Хмельницька міська рада,Київська обл.
370,"Політична партія ""Наш край""",29.41,Бориспільська міська рада,Київська обл.
371,"політична партія Всеукраїнське об’єднання ""Батьківщина""",17.65,Бучанська міська рада,Київська обл.
372,Партія захисників Вітчизни,17.65,Бучанська міська рада,Київська обл.
373,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Бучанська міська рада,Київська обл.
374,"Політична партія ""Наш край""",8.82,Бучанська міська рада,Київська обл.
375,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",13.89,Ірпінська міська рада,Київська обл.
376,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",11.11,Ірпінська міська рада,Київська обл.
377,"політична партія Всеукраїнське об’єднання ""Свобода""",11.11,Ірпінська міська рада,Київська обл.
378,"Партія ""Солідарність жінок України""",8.33,Ірпінська міська рада,Київська обл.
379,"Політична партія ""Національна Демократична партія України""",7.69,Славутицька міська рада,Київська обл.
380,Партія ветеранів Афганістану,7.69,Славутицька міська рада,Київська обл.
381,Соціал-демократична партія України,7.69,Славутицька міська рада,Київська обл.
382,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Васильківська міська рада,Київська обл.
383,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",11.76,Васильківська міська рада,Київська обл.
384,"Політична партія ""Сила людей""",11.76,Васильківська міська рада,Київська обл.
385,Радикальна партія Олега Ляшка,11.76,Васильківська міська рада,Київська обл.
386,"політична партія Всеукраїнське об’єднання ""Свобода""",8.82,Васильківська міська рада,Київська обл.
387,"Політична Партія ""Опозиційний блок""",7.69,Ржищівська міська рада,Київська обл.
388,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",7.69,Ржищівська міська рада,Київська обл.
389,"Українська партія ""Єдність""",16.67,Броварська міська рада,Київська обл.
390,"Політична партія ""Об’єднання ""САМОПОМІЧ""",13.89,Броварська міська рада,Київська обл.
391,політична партія ДемАльянс (Демократичний альянс),11.11,Броварська міська рада,Київська обл.
392,"політична партія Всеукраїнське об’єднання ""Свобода""",11.11,Броварська міська рада,Київська обл.
393,"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.11,Броварська міська рада,Київська обл.
394,"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",8.82,Переяслав-Хмельницька міська рада,Київська обл.
395,"політична партія Всеукраїнське об’єднання ""Свобода""",8.82,Переяслав-Хмельницька міська рада,Київська обл.
396,"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.82,Переяслав-Хмельницька міська рада,Київська обл.
397,"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.82,Переяслав-Хмельницька міська рада,Київська обл.
398,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",20.59,Бориспільська міська рада,Київська обл.
399,Радикальна партія Олега Ляшка,11.76,Бориспільська міська рада,Київська обл.
400,"Політична партія ""Об’єднання ""САМОПОМІЧ""",11.76,Бориспільська міська рада,Київська обл.
401,"політична партія Всеукраїнське об’єднання ""Свобода""",8.82,Бориспільська міська рада,Київська обл.
402,"політична партія Всеукраїнське об’єднання ""Свобода""",8.82,Бучанська міська рада,Київська обл.
403,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",5.88,Бучанська міська рада,Київська обл.
404,"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.33,Ірпінська міська рада,Київська обл.
405,Партія захисників Вітчизни,5.56,Ірпінська міська рада,Київська обл.
406,Народна Партія,8.82,Васильківська міська рада,Київська обл.
407,"Політична Партія ""Опозиційний блок""",5.88,Васильківська міська рада,Київська обл.
408,"Політична партія ""Нові обличчя""",5.88,Васильківська міська рада,Київська обл.
409,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.33,Броварська міська рада,Київська обл.
410,Радикальна партія Олега Ляшка,5.56,Броварська міська рада,Київська обл.
411,"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.82,Бориспільська міська рада,Київська обл.
412,"Політична партія ""Сила людей""",8.82,Бориспільська міська рада,Київська обл.
413,"Політична партія ""Об’єднання ""САМОПОМІЧ""",26.19,Білоцерківська міська рада,Київська обл.
414,"політична партія Всеукраїнське об’єднання ""Свобода""",14.29,Білоцерківська міська рада,Київська обл.
415,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",14.29,Білоцерківська міська рада,Київська обл.
416,"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.9,Білоцерківська міська рада,Київська обл.
417,Партія промисловців і підприємців України,23.08,Березанська міська рада,Київська обл.
418,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Нововолинська міська рада,Волинська обл.
419,"політична партія Всеукраїнське об’єднання ""Батьківщина""",25.0,Ковельська міська рада,Волинська обл.
420,Радикальна партія Олега Ляшка,9.52,Білоцерківська міська рада,Київська обл.
421,"Політична партія ""Партія економічного відродження України"" ",9.52,Білоцерківська міська рада,Київська обл.
422,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",7.14,Білоцерківська міська рада,Київська обл.
423,"Політична Партія ""Опозиційний блок""",7.14,Білоцерківська міська рада,Київська обл.
424,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",15.38,Березанська міська рада,Київська обл.
425,"Політична Партія ""Опозиційний блок""",11.54,Березанська міська рада,Київська обл.
426,"Політична партія ""Наш край""",11.54,Березанська міська рада,Київська обл.
427,"політична партія Всеукраїнське об’єднання ""Свобода""",7.69,Березанська міська рада,Київська обл.
428,"Політична партія ""Об’єднання ""САМОПОМІЧ""",19.44,Червоноградська міська рада,Львівська обл.
429,"політична партія Всеукраїнське об’єднання ""Батьківщина""",17.65,Нововолинська міська рада,Волинська обл.
430,"Політична партія ""Об’єднання ""САМОПОМІЧ""",14.71,Нововолинська міська рада,Волинська обл.
431,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",14.71,Нововолинська міська рада,Волинська обл.
432,Радикальна партія Олега Ляшка,11.76,Нововолинська міська рада,Волинська обл.
433,"політична партія Всеукраїнське об’єднання ""Свобода""",8.82,Нововолинська міська рада,Волинська обл.
434,"Політична партія ""Об’єднання ""САМОПОМІЧ""",19.23,Трускавецька міська рада,Львівська обл.
435,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",22.22,Ковельська міська рада,Волинська обл.
436,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",13.89,Ковельська міська рада,Волинська обл.
437,"Політична партія ""Об’єднання ""САМОПОМІЧ""",17.65,Стрийська міська рада,Львівська обл.
438,"Політична партія ""Воля""",23.53,Самбірська міська рада,Львівська обл.
439,"політична партія Всеукраїнське об’єднання ""Батьківщина""",7.69,Березанська міська рада,Київська обл.
440,Радикальна партія Олега Ляшка,7.69,Березанська міська рада,Київська обл.
441,"Політична партія ""Об’єднання ""САМОПОМІЧ""",7.69,Березанська міська рада,Київська обл.
442,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",7.69,Березанська міська рада,Київська обл.
443,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",16.67,Червоноградська міська рада,Львівська обл.
444,"політична партія Всеукраїнське об’єднання ""Свобода""",13.89,Червоноградська міська рада,Львівська обл.
445,"політична партія Всеукраїнське об’єднання ""Батьківщина""",13.89,Червоноградська міська рада,Львівська обл.
446,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",11.11,Червоноградська міська рада,Львівська обл.
447,Радикальна партія Олега Ляшка,11.11,Червоноградська міська рада,Львівська обл.
448,"Політична партія ""Громадянська позиція""",8.82,Нововолинська міська рада,Волинська обл.
449,"Політична партія ""Наш край""",5.88,Нововолинська міська рада,Волинська обл.
450,"Політична партія ""Громадянська позиція""",15.38,Трускавецька міська рада,Львівська обл.
451,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",15.38,Трускавецька міська рада,Львівська обл.
452,політична партія Конгрес Українських Націоналістів,11.54,Трускавецька міська рада,Львівська обл.
453,"політична партія Всеукраїнське об’єднання ""Свобода""",11.54,Трускавецька міська рада,Львівська обл.
454,"Політична партія ""Об’єднання ""САМОПОМІЧ""",13.89,Ковельська міська рада,Волинська обл.
455,"політична партія Всеукраїнське об’єднання ""Свобода""",11.11,Ковельська міська рада,Волинська обл.
456,Радикальна партія Олега Ляшка,8.33,Ковельська міська рада,Волинська обл.
457,"Політична партія ""Сила людей""",5.56,Ковельська міська рада,Волинська обл.
458,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Стрийська міська рада,Львівська обл.
459,"політична партія Всеукраїнське об’єднання ""Батьківщина""",14.71,Стрийська міська рада,Львівська обл.
460,"Політична партія ""Громадянська позиція""",11.76,Стрийська міська рада,Львівська обл.
461,"політична партія Всеукраїнське об’єднання ""Свобода""",11.76,Стрийська міська рада,Львівська обл.
462,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",14.71,Самбірська міська рада,Львівська обл.
463,Радикальна партія Олега Ляшка,11.76,Самбірська міська рада,Львівська обл.
464,"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.82,Самбірська міська рада,Львівська обл.
465,"політична партія Всеукраїнське об’єднання ""Свобода""",8.82,Самбірська міська рада,Львівська обл.
466,політична партія Народний Рух України,8.33,Червоноградська міська рада,Львівська обл.
467,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",5.56,Червоноградська міська рада,Львівська обл.
468,"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.54,Трускавецька міська рада,Львівська обл.
469,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",7.69,Трускавецька міська рада,Львівська обл.
470,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",7.69,Трускавецька міська рада,Львівська обл.
471,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",8.82,Стрийська міська рада,Львівська обл.
472,"Політична партія ""Сила людей""",5.88,Стрийська міська рада,Львівська обл.
473,політична партія Конгрес Українських Націоналістів,5.88,Стрийська міська рада,Львівська обл.
474,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",5.88,Стрийська міська рада,Львівська обл.
475,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",8.82,Самбірська міська рада,Львівська обл.
476,"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.82,Самбірська міська рада,Львівська обл.
477,політична партія Конгрес Українських Націоналістів,8.82,Самбірська міська рада,Львівська обл.
478,політична партія Народний Рух України,5.88,Самбірська міська рада,Львівська обл.
479,"політична партія Всеукраїнське об’єднання ""Свобода""",17.65,Бориславська міська рада,Львівська обл.
480,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",19.44,Дрогобицька міська рада,Львівська обл.
481,"Політична партія ""Об’єднання ""САМОПОМІЧ""",14.71,Бориславська міська рада,Львівська обл.
482,"Політична партія ""Громадянська позиція""",11.76,Бориславська міська рада,Львівська обл.
483,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",8.82,Бориславська міська рада,Львівська обл.
484,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.82,Бориславська міська рада,Львівська обл.
485,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",8.82,Бориславська міська рада,Львівська обл.
486,Радикальна партія Олега Ляшка,8.82,Бориславська міська рада,Львівська обл.
